kind,url,snapshot,status,bytes,note
page,https://devaaluminyum.com/,20250711185606,200,24999,title=Deva Alüminyum Kompozit Cephe Sistemleri - Kocasinan /KAYSERİ- 0 533 382 07 05; h1=
page,https://devaaluminyum.com/Hakkimizda.html,20250711185606,200,10688,title=Hakkımızda - Deva Alüminyum Kompozit Cephe Sistemleri - Kocasinan /KAYSERİ- 0 533 382 07 05; h1=
page,https://devaaluminyum.com/Sayfa/56/hizmetlerimiz,20250711185606,200,11409,title=Hizmetlerimiz; h1=
page,https://devaaluminyum.com/Sayfa/72/referanslarimiz,20250711185606,200,9597,title=Referanslarımız; h1=
page,https://devaaluminyum.com/iletisim.html,20250711185606,200,7851,title=İletişim - Deva Alüminyum Kompozit Cephe Sistemleri - Kocasinan /KAYSERİ- 0 533 382 07 05; h1=
page,https://devaaluminyum.com/Sayfa/153/kayseri--aluminyum-kompozit-kaplama,20250711185606,200,22860,title=Kayseri  Alüminyum Kompozit Kaplama; h1=
page,https://devaaluminyum.com/Sayfa/167/bina-giris-kompozit-kaplama,20250711185606,200,8869,title=Bina Giriş Kompozit Kaplama; h1=
page,https://devaaluminyum.com/Sayfa/168/fabrika-yonetim-binasi-kompozit-kaplama,,0,0,failed
page,https://devaaluminyum.com/Sayfa/156/kayseri-aluminyum-dograma,20250711185606,200,8401,title=Kayseri Alüminyum Doğrama; h1=
page,https://devaaluminyum.com/Sayfa/157/kayseri-slikon-cephe-kaplama,20250711185606,200,14786,title=Kayseri Slikon Cephe Kaplama; h1=
page,https://devaaluminyum.com/Sayfa/171/fransiz-balkon-korkuluklari,20250711185606,200,15572,title=Fransız Balkon Korkulukları; h1=
page,https://devaaluminyum.com/Sayfa/170/balkon-korkuluklari,20250711185606,200,20668,title=Balkon Korkulukları; h1=Balkon Korkulukları
page,https://devaaluminyum.com/Sayfa/169/merdiven-korkuluklari,20250711185606,200,21184,title=Merdiven Korkulukları; h1=Merdiven Korkulukları
page,https://devaaluminyum.com/Sayfa/162/kayseri--bina-giris-kapisi,20250711185606,200,21102,title=Kayseri  Bina Giriş Kapısı; h1=Kayseri  Bina Giriş Kapısı
page,https://devaaluminyum.com/Sayfa/163/kayseri-aluminyum-ofis-bolmeleri,20250711185606,200,17855,title=Kayseri Alüminyum Ofis Bölmeleri; h1=Kayseri Alüminyum Ofis Bölmeleri
page,https://devaaluminyum.com/Sayfa/164/kayseri--fotoselli-otomatik-kapi-sistemleri-,20250711185606,200,19733,title=Kayseri  Fotoselli Otomatik Kapı Sistemleri; h1=Kayseri  Fotoselli Otomatik Kapı Sistemleri
page,https://devaaluminyum.com/Sayfa/158/kayseri-cam-balkon-imalati-ve-montaj,20250711185606,200,10759,title=Kayseri Cam Balkon İmalatı ve Montaj; h1=
page,https://devaaluminyum.com/rss.php,20250711185606,200,4081,title=<![CDATA[Deva Alüminyum Kompozit Cephe Sistemleri - Kocasinan /KAYSERİ- 0 533 382 07 05]]>; h1=
page,https://devaaluminyum.com/xml.php,20250711185606,200,1740,title=; h1=
