path,width,height,megapixels,bytes,grade
dist/assets/recovered/Tema/logo.png,258,157,0.041,6029,E
dist/assets/recovered/resimler/0-620694757554-37693cfc748049e45d87b8c7d8b9aacd.jpg,720,960,0.691,67898,D
dist/assets/recovered/resimler/0-620694757554-3c59dc048e8850243be8079a5c74d079.jpg,960,540,0.518,71074,C
dist/assets/recovered/resimler/0-620694757554-b6d767d2f8ed5d21a44b0e5886680cb9.jpg,1280,640,0.819,83018,C
dist/assets/recovered/resimler/0-648675657737-1679091c5a880faf6fb5e6087eb1b2dc.jpg,960,540,0.518,63779,C
dist/assets/recovered/resimler/0-648675657737-45c48cce2e2d7fbdea1afc51c7c6ad26.jpg,960,540,0.518,61102,C
dist/assets/recovered/resimler/0-648675657737-8f14e45fceea167a5a36dedd4bea2543.jpg,960,540,0.518,53926,C
dist/assets/recovered/resimler/0-648675657737-a87ff679a2f3e71d9181a67b7542122c.jpg,1280,640,0.819,48337,C
dist/assets/recovered/resimler/0-648675657737-c4ca4238a0b923820dcc509a6f75849b.jpg,480,960,0.461,43187,E
dist/assets/recovered/resimler/0-648675657737-c81e728d9d4c2f636f067f89cc14862c.jpg,1280,640,0.819,100419,C
dist/assets/recovered/resimler/0-648675657737-c9f0f895fb98ab9159f51fd0297e236d.jpg,960,540,0.518,58022,C
dist/assets/recovered/resimler/0-648675657737-d3d9446802a44259755d38e6d163e820.jpg,960,540,0.518,45730,C
dist/assets/recovered/resimler/0-648675657737-e4da3b7fbbce2345d7772b0674a318d5.jpg,1280,640,0.819,76669,C
dist/assets/recovered/resimler/0-648675657737-eccbc87e4b5ce2fe28308fd9f2a7baf3.jpg,1280,640,0.819,78943,C
dist/assets/recovered/resimler/0-761997625541-1f0e3dad99908345f7439f8ffabdffc4.jpg,960,576,0.553,43295,C
dist/assets/recovered/resimler/0-761997625541-6512bd43d9caa6e02c990b0a82652dca.jpg,480,960,0.461,82702,E
dist/assets/recovered/resimler/0-761997625541-6f4922f45568161a8cdf4ad2299f6d23.jpg,528,960,0.507,43845,D
dist/assets/recovered/resimler/0-761997625541-70efdf2ec9b086079795c442636b55fb.jpg,960,540,0.518,71112,C
dist/assets/recovered/resimler/0-761997625541-98f13708210194c475687be6106a3b84.jpg,960,540,0.518,71074,C
dist/assets/recovered/resimler/0-761997625541-9bf31c7ff062936a96d3c8bd1f8f2ff3.jpg,960,679,0.652,65564,C
dist/assets/recovered/resimler/0-761997625541-aab3238922bcc25a6f606eb525ffdc56.jpg,1280,640,0.819,61354,C
dist/assets/recovered/resimler/0-761997625541-c20ad4d76fe97759aa27a0c99bff6710.jpg,720,960,0.691,67898,D
dist/assets/recovered/resimler/0-761997625541-c51ce410c124a10e0db5e4b97fc2af39.jpg,1280,640,0.819,105619,C
dist/assets/recovered/resimler/0-761997625541-c74d97b01eae257e44aa9d5bade97baf.jpg,960,540,0.518,64082,C
dist/assets/recovered/resimler/aaaaaa2614c0c06ceda22c96e9b6de0893de7f.203318.jpg,1920,1080,2.074,145766,A
dist/assets/recovered/resimler/aaaaaa6c7857455dcedbfa96584abd609a9dde.68d2f5.jpg,1920,1080,2.074,145966,A
dist/assets/recovered/resimler/aaaaaaa8231de42756dcfe6afbe96dc1b0a2b2.e20428.jpg,1920,1080,2.074,112030,A
dist/assets/recovered/resimler/aaaaaadf847ee6ffe705b5c65e68d86b1278d6.fd9072.jpg,1920,1080,2.074,167474,A
dist/assets/recovered/resimler/aaaaaafe70d1b41e921fc3bb9d3d79399c44f6.93ba17.jpg,1920,1080,2.074,127522,A
